Date,Ticker,Return
2022-11-16,NVDA,0.0
2022-11-17,NVDA,-0.014644875643835875
2022-11-18,NVDA,-0.017095037396155588
2022-11-21,NVDA,-0.005970707864360936
2022-11-22,NVDA,0.04707200529817035
2022-11-23,NVDA,0.029990923315410534
2022-11-25,NVDA,-0.015073203089181253
2022-11-28,NVDA,-0.027228099291895624
2022-11-29,NVDA,-0.011878391860181026
2022-11-30,NVDA,0.08237925607433216
2022-12-01,NVDA,0.01252743355084629
2022-12-02,NVDA,-0.015115555758089205
2022-12-05,NVDA,-0.015761817997933414
2022-12-06,NVDA,-0.037507590343623165
2022-12-07,NVDA,0.00831950510847701
2022-12-08,NVDA,0.06507423069607521
2022-12-09,NVDA,-0.009785167328496325
2022-12-12,NVDA,0.03141021545084621
2022-12-13,NVDA,0.03062437797430495
2022-12-14,NVDA,-0.02202306468898907
2022-12-15,NVDA,-0.040850919496214666
2022-12-16,NVDA,-0.02247543932615692
2022-12-19,NVDA,-0.01912965435720071
2022-12-20,NVDA,-0.010397206676416415
2022-12-21,NVDA,0.025862382065254153
2022-12-22,NVDA,-0.07041999716305691
2022-12-23,NVDA,-0.008670777252754447
2022-12-27,NVDA,-0.07135332510503878
2022-12-28,NVDA,-0.006019485758020804
2022-12-29,NVDA,0.04039605242468802
2022-12-30,NVDA,0.0007533064032612113
2023-01-03,NVDA,-0.020459826815079074
2023-01-04,NVDA,0.030317838106590722
2023-01-05,NVDA,-0.03281569157405029
2023-01-06,NVDA,0.04164038488176702
2023-01-09,NVDA,0.05175312005414856
2023-01-10,NVDA,0.01798051255495081
2023-01-11,NVDA,0.005782777432431496
2023-01-12,NVDA,0.031873090370743595
2023-01-13,NVDA,0.023499530488094722
2023-01-17,NVDA,0.047517758139088206
2023-01-18,NVDA,-0.01835943254780803
2023-01-19,NVDA,-0.035219156334631574
2023-01-20,NVDA,0.0640620895081836
2023-01-23,NVDA,0.07590105716634987
2023-01-24,NVDA,0.003751359274639654
2023-01-25,NVDA,0.0030106425918323687
2023-01-26,NVDA,0.024789035424382933
2023-01-27,NVDA,0.02843153465363235
